state,state_code,latitude,longitude,date,infected_count
Alabama,AL,32.3182,-86.9023,2020-03-01,0
Alabama,AL,32.3182,-86.9023,2020-03-02,0
Alabama,AL,32.3182,-86.9023,2020-03-03,0
Alabama,AL,32.3182,-86.9023,2020-03-04,0
Alabama,AL,32.3182,-86.9023,2020-03-05,0
Alabama,AL,32.3182,-86.9023,2020-03-06,0
Alabama,AL,32.3182,-86.9023,2020-03-07,0
Alabama,AL,32.3182,-86.9023,2020-03-08,0
Alabama,AL,32.3182,-86.9023,2020-03-09,0
Alabama,AL,32.3182,-86.9023,2020-03-10,0
Alabama,AL,32.3182,-86.9023,2020-03-11,0
Alabama,AL,32.3182,-86.9023,2020-03-12,0
Alabama,AL,32.3182,-86.9023,2020-03-13,5
Alabama,AL,32.3182,-86.9023,2020-03-14,6
Alabama,AL,32.3182,-86.9023,2020-03-15,12
Alabama,AL,32.3182,-86.9023,2020-03-16,29
Alabama,AL,32.3182,-86.9023,2020-03-17,39
Alabama,AL,32.3182,-86.9023,2020-03-18,46
Alabama,AL,32.3182,-86.9023,2020-03-19,78
Alabama,AL,32.3182,-86.9023,2020-03-20,83
Alabama,AL,32.3182,-86.9023,2020-03-21,131
Alabama,AL,32.3182,-86.9023,2020-03-22,138
Alabama,AL,32.3182,-86.9023,2020-03-23,138
Alaska,AK,61.3707,-152.4044,2020-03-01,0
Alaska,AK,61.3707,-152.4044,2020-03-02,0
Alaska,AK,61.3707,-152.4044,2020-03-03,0
Alaska,AK,61.3707,-152.4044,2020-03-04,0
Alaska,AK,61.3707,-152.4044,2020-03-05,0
Alaska,AK,61.3707,-152.4044,2020-03-06,0
Alaska,AK,61.3707,-152.4044,2020-03-07,0
Alaska,AK,61.3707,-152.4044,2020-03-08,0
Alaska,AK,61.3707,-152.4044,2020-03-09,0
Alaska,AK,61.3707,-152.4044,2020-03-10,0
Alaska,AK,61.3707,-152.4044,2020-03-11,0
Alaska,AK,61.3707,-152.4044,2020-03-12,0
Alaska,AK,61.3707,-152.4044,2020-03-13,1
Alaska,AK,61.3707,-152.4044,2020-03-14,1
Alaska,AK,61.3707,-152.4044,2020-03-15,1
Alaska,AK,61.3707,-152.4044,2020-03-16,1
Alaska,AK,61.3707,-152.4044,2020-03-17,3
Alaska,AK,61.3707,-152.4044,2020-03-18,6
Alaska,AK,61.3707,-152.4044,2020-03-19,9
Alaska,AK,61.3707,-152.4044,2020-03-20,12
Alaska,AK,61.3707,-152.4044,2020-03-21,15
Alaska,AK,61.3707,-152.4044,2020-03-22,21
Alaska,AK,61.3707,-152.4044,2020-03-23,21
Arizona,AZ,33.7298,-111.4312,2020-03-01,0
Arizona,AZ,33.7298,-111.4312,2020-03-02,0
Arizona,AZ,33.7298,-111.4312,2020-03-03,0
Arizona,AZ,33.7298,-111.4312,2020-03-04,0
Arizona,AZ,33.7298,-111.4312,2020-03-05,0
Arizona,AZ,33.7298,-111.4312,2020-03-06,0
Arizona,AZ,33.7298,-111.4312,2020-03-07,0
Arizona,AZ,33.7298,-111.4312,2020-03-08,0
Arizona,AZ,33.7298,-111.4312,2020-03-09,0
Arizona,AZ,33.7298,-111.4312,2020-03-10,6
Arizona,AZ,33.7298,-111.4312,2020-03-11,9
Arizona,AZ,33.7298,-111.4312,2020-03-12,9
Arizona,AZ,33.7298,-111.4312,2020-03-13,9
Arizona,AZ,33.7298,-111.4312,2020-03-14,12
Arizona,AZ,33.7298,-111.4312,2020-03-15,13
Arizona,AZ,33.7298,-111.4312,2020-03-16,18
Arizona,AZ,33.7298,-111.4312,2020-03-17,20
Arizona,AZ,33.7298,-111.4312,2020-03-18,27
Arizona,AZ,33.7298,-111.4312,2020-03-19,45
Arizona,AZ,33.7298,-111.4312,2020-03-20,78
Arizona,AZ,33.7298,-111.4312,2020-03-21,118
Arizona,AZ,33.7298,-111.4312,2020-03-22,152
Arizona,AZ,33.7298,-111.4312,2020-03-23,152
Arkansas,AR,34.9697,-92.3731,2020-03-01,0
Arkansas,AR,34.9697,-92.3731,2020-03-02,0
Arkansas,AR,34.9697,-92.3731,2020-03-03,0
Arkansas,AR,34.9697,-92.3731,2020-03-04,0
Arkansas,AR,34.9697,-92.3731,2020-03-05,0
Arkansas,AR,34.9697,-92.3731,2020-03-06,0
Arkansas,AR,34.9697,-92.3731,2020-03-07,0
Arkansas,AR,34.9697,-92.3731,2020-03-08,0
Arkansas,AR,34.9697,-92.3731,2020-03-09,0
Arkansas,AR,34.9697,-92.3731,2020-03-10,0
Arkansas,AR,34.9697,-92.3731,2020-03-11,1
Arkansas,AR,34.9697,-92.3731,2020-03-12,6
Arkansas,AR,34.9697,-92.3731,2020-03-13,6
Arkansas,AR,34.9697,-92.3731,2020-03-14,12
Arkansas,AR,34.9697,-92.3731,2020-03-15,16
Arkansas,AR,34.9697,-92.3731,2020-03-16,22
Arkansas,AR,34.9697,-92.3731,2020-03-17,22
Arkansas,AR,34.9697,-92.3731,2020-03-18,33
Arkansas,AR,34.9697,-92.3731,2020-03-19,62
Arkansas,AR,34.9697,-92.3731,2020-03-20,96
Arkansas,AR,34.9697,-92.3731,2020-03-21,122
Arkansas,AR,34.9697,-92.3731,2020-03-22,165
Arkansas,AR,34.9697,-92.3731,2020-03-23,165
California,CA,36.1162,-119.6816,2020-03-01,0
California,CA,36.1162,-119.6816,2020-03-02,0
California,CA,36.1162,-119.6816,2020-03-03,0
California,CA,36.1162,-119.6816,2020-03-04,0
California,CA,36.1162,-119.6816,2020-03-05,0
California,CA,36.1162,-119.6816,2020-03-06,0
California,CA,36.1162,-119.6816,2020-03-07,0
California,CA,36.1162,-119.6816,2020-03-08,0
California,CA,36.1162,-119.6816,2020-03-09,0
California,CA,36.1162,-119.6816,2020-03-10,144
California,CA,36.1162,-119.6816,2020-03-11,177
California,CA,36.1162,-119.6816,2020-03-12,221
California,CA,36.1162,-119.6816,2020-03-13,282
California,CA,36.1162,-119.6816,2020-03-14,340
California,CA,36.1162,-119.6816,2020-03-15,426
California,CA,36.1162,-119.6816,2020-03-16,557
California,CA,36.1162,-119.6816,2020-03-17,698
California,CA,36.1162,-119.6816,2020-03-18,751
California,CA,36.1162,-119.6816,2020-03-19,952
California,CA,36.1162,-119.6816,2020-03-20,1177
California,CA,36.1162,-119.6816,2020-03-21,1364
California,CA,36.1162,-119.6816,2020-03-22,1642
California,CA,36.1162,-119.6816,2020-03-23,1642
Colorado,CO,39.0598,-105.3111,2020-03-01,0
Colorado,CO,39.0598,-105.3111,2020-03-02,0
Colorado,CO,39.0598,-105.3111,2020-03-03,0
Colorado,CO,39.0598,-105.3111,2020-03-04,0
Colorado,CO,39.0598,-105.3111,2020-03-05,0
Colorado,CO,39.0598,-105.3111,2020-03-06,0
Colorado,CO,39.0598,-105.3111,2020-03-07,0
Colorado,CO,39.0598,-105.3111,2020-03-08,0
Colorado,CO,39.0598,-105.3111,2020-03-09,0
Colorado,CO,39.0598,-105.3111,2020-03-10,15
Colorado,CO,39.0598,-105.3111,2020-03-11,34
Colorado,CO,39.0598,-105.3111,2020-03-12,45
Colorado,CO,39.0598,-105.3111,2020-03-13,49
Colorado,CO,39.0598,-105.3111,2020-03-14,101
Colorado,CO,39.0598,-105.3111,2020-03-15,131
Colorado,CO,39.0598,-105.3111,2020-03-16,160
Colorado,CO,39.0598,-105.3111,2020-03-17,160
Colorado,CO,39.0598,-105.3111,2020-03-18,184
Colorado,CO,39.0598,-105.3111,2020-03-19,277
Colorado,CO,39.0598,-105.3111,2020-03-20,363
Colorado,CO,39.0598,-105.3111,2020-03-21,390
Colorado,CO,39.0598,-105.3111,2020-03-22,476
Colorado,CO,39.0598,-105.3111,2020-03-23,476
Connecticut,CT,41.5978,-72.7554,2020-03-01,0
